Product ID,Listing Type,Condition,Printing,Price,Shipping,Total
497678,Without Photos,Near Mint,Holofoil,31.93,0,31.93
497680,Without Photos,Near Mint,Holofoil,26.8,0,26.8
523880,Without Photos,Near Mint,Holofoil,52.99,0,52.99
523927,Without Photos,Near Mint,Holofoil,15.64,0,15.64
523930,Without Photos,Near Mint,Holofoil,31.59,0,31.59
523932,Without Photos,Near Mint,Holofoil,59.59,0,59.59
523933,Without Photos,Near Mint,Holofoil,29.72,0,29.72
523934,Without Photos,Near Mint,Holofoil,33.95,0,33.95
534919,Without Photos,Near Mint,Holofoil,82.35,1.49,83.84
535085,Without Photos,Near Mint,Holofoil,48.95,0,48.95
535090,Without Photos,Near Mint,Holofoil,114.99,0,114.99
542924,Without Photos,Near Mint,Holofoil,43.59,0,43.59
542927,Without Photos,Near Mint,Holofoil,68.99,0,68.99
542928,Without Photos,Near Mint,Holofoil,29.4,0,29.4
550232,Without Photos,Near Mint,Holofoil,55,1.22,56.22
550254,Without Photos,Near Mint,Holofoil,22.4,1.49,23.89
550255,Without Photos,Near Mint,Holofoil,40.95,0,40.95
550256,Without Photos,Near Mint,Holofoil,18.61,1,19.61
550257,Without Photos,Near Mint,Holofoil,26.25,0,26.25
550259,Without Photos,Near Mint,Holofoil,18.99,1.49,20.48
